title,content
75 Rohingya refugees blocked from landing on Indonesia beach,"At least 75 Rohingya refugees arrived by boat at a tourist beach in western Indonesia yesterday, but were stopped by authorities from disembarking, local officials said. The mostly Muslim Rohingyas are heavily persecuted in Myanmar -- their predominantly Buddhist homeland -- and thousands risk their lives each year on long and dangerous sea journeys to reach Malaysia or Indonesia. The latest group of refugees, including four children, arrived on a beach in Aceh at 2:00 pm, according to Rizalihadi, a local administrative official who like many Indonesians goes by one name. ""There are 75 Rohingya Muslims who landed on the Leuge Beach. Four of them are toddlers,"" Rizalihadi told reporters. ""For now, they are not allowed to disembark, considering today is a public holiday... There are concerns that they might blend in with the crowd and escape,"" Rizalihadi said."
Japan sees record number of teen suicides,"Japan saw a record number of suicides among school pupils in 2024, health ministry data showed yesterday. The latest data among those in elementary through high school edged up to 527 from 513 cases in 2023, the ministry said. The total number of people of all ages dying by suicide fell 7.2 percent to 20,268, sharply lower from the record high of 34,427 cases in 2003. The number among people aged younger than 20, including those at school, also fell to 800 in 2024 from 810 in 2023, the latest data showed. ""We regard this very seriously,"" Keiichiro Tachibana, deputy chief cabinet secretary, told a regular press briefing. ""We will continue do our utmost to take measures to protect children's lives and to realise a society where no one is pressed into taking their own life."" The health ministry was expected to issue its analysis of the data in March after more figures become available. Japan annually sees the number of teen suicides rise at the end of every summer break in late August through early September. This prompts the government and media to heighten public calls for struggling teens to seek help."
"India, China agree to resume flights 5yrs after stoppage","India and China yesterday announced they have agreed to resume direct air services after about five years, indicating a thaw in relations between the two neighbours after a military clash on their unresolved border across the Himalayas in 2020. Both sides will negotiate a framework on the flights in a meeting that will be held at an ""early date,"" the Indian External Affairs Ministry said in a statement after a meeting between India's top diplomat and his Chinese counterpart in Beijing. ""The relevant technical authorities on the two sides will meet and negotiate an updated framework for this purpose at an early date,"" the statement said. A deadly hand-to-hand combat between Indian and Chinese troops in the Galwan river valley in the Himalayas in May 2020 left 20 Indians and an unspecified number of PLA soldiers dead, sending bilateral ties into a nosedive. The two countries also agreed to hold an early meeting of the India-China expert-level mechanism to discuss the resumption of the provision of hydrological data and other cooperation pertaining to trans-border rivers, it said. This assumes significance in the wake of concerns in India over China's decision to build a huge dam on the trans-border river Yarlung Tsangpo, which is known by the name Brahmaputra in India and Bangladesh. There is concern in both India and Bangladesh that the dam by China will hit the flow of water in the lower riparian region. Yesterday's announcements followed Indian Foreign Secretary Vikram Misri's two-day visit to Beijing on January 26-27 for a meeting with Chinese Vice Foreign Minister Sun Weidong. The two sides also decided to resume the Kailash Mansarovar Yatra in Tibet, a Hindu pilgrimage centre, in the summer of 2025, and the relevant mechanism will discuss the modalities for doing so as per existing agreements. The two countries also agreed to take ""appropriate"" measures to further promote and facilitate people-to-people exchanges, including media and think-tank interactions."
Martial law decree: S Korea’s Yoon indicted for insurrection,"South Korea's prosecutors yesterday indicted impeached President Yoon Suk Yeol on charges of leading an insurrection with his short-lived imposition of martial law on December 3, the main opposition party said. The charges are unprecedented for a South Korean president, and if convicted, Yoon could face years in prison for his shock martial law decree, which sought to ban political and parliamentary activity and control the media. His move set off a wave of political upheaval in Asia's fourth-largest economy and a top US ally, with the prime minister also impeached and suspended from power and a number of top military officials indicted for their roles in the alleged insurrection. The prosecutors' office did not immediately respond to requests for comment. The indictment was also reported by South Korean media. Anti-corruption investigators last week recommended charging the jailed Yoon, who was impeached by parliament and suspended from his duties on December 14. A former top prosecutor himself, Yoon has been in solitary confinement since becoming the first sitting president to be arrested on January 15 after days of defiant, armed standoff between his security detail and arresting officials. Over the weekend a court twice refused prosecutors' request to extend his detention while they conducted further investigation, but with the charges they have again requested that he be kept in custody, media reports said. Yoon's lawyers had urged the prosecutors to release him immediately from what they call illegal custody. Insurrection is one of the few criminal charges from which a South Korean president does not have immunity. It is punishable by life imprisonment or death, although South Korea has not executed anyone in decades."
Voluntary repatriation of North Korean POWs in Ukraine,"With new reports of North Korean troops captured as POWs in Ukraine, as resident Zelensky puts it, there is now ""irrefutable evidence"" that North Korea has been involved in Russia's war against Ukraine. The ROK's National Intelligence Service provides that North Korea deployed around 12,000 soldiers in Kursk Oblast, and at least 300 soldiers have been killed and 2700 wounded. Among them, two were captured as POWs by the Ukraine government, and President Zelensky proposed that he is ready to exchange captured North Korean POWs with Ukrainian POWs in Russia. And if exchanges do take place, it is likely that North Korean POWs will be returned to North Korea, but President Zelensky did leave the option open for the soldiers not to be return to North Korea if the ""soldiers express a desire to bring peace closer by spreading the truth about the war in Korean"". As for the POWs, they have not provided a clear position, but in an interview posted by President Zelensky, one of the POWs said he wanted to return to North Korea while the other mentioned that he would like to stay in Ukraine, but would return home if it was required for him to do so. While the Third Geneva Convention, which regulates POWs, does stipulate that POWs should be returned to their homeland, many human rights organizations are concerned about their possible return to North Korea since these POWs can face serious human rights risks if they are sent back to North Korea. The Third Geneva Convention clearly provides that POWs should be treated humanely at all times, and therefore, the Ukraine government is now cooperating with the UN and the ICRC and other organizations to protect the POWs from violence, public humiliation, or insult. But if they are repatriated to North Korea, it is highly likely that they can be punished for not obeying military orders. In particular, captured North Korea soldiers may be deemed to be traitors since reports show that North Korea authorities instructed these soldiers to commit suicide or self-destruction before being captured by the enemy. They may also be punished for consuming foreign media, which can lead to arbitrary detention and even torture. Many North Korean defectors already face serious consequences when they are repatriated, which is why the UN is calling for states not to forcibly repatriate North Korea defectors in accordance with the principle of non-refoulement under international law. In the meantime, the ROK government has not provided an official position on this issue, and a spokesperson rather announced that return of North Korean POWs ""requires review of international law and other legal matters, and consultation with other related countries"". But as a matter of law, North Korean POWs are entitled to go to the ROK based on ROK's constitutional law since North Korean citizens are considered to be South Korean citizens under the ROK's constitution. It is under this legal basis that North Korean defectors are able to enter South Korea. However, the challenge lies in that North Korea and Russia have not officially acknowledged the deployment of North Korean troops to Russia, and possibilities remain that Russia will claim the North Korea POWs as their own soldiers. Therefore, many uncertainties remain, but it is clear that the free will of the North Korean POWs should be respected. In fact, it was during the Korean War, when this free will or 'voluntary repatriation' of Korean POWs was implemented for the first time. At the end of the war, a large number of communist POWs did not want to return to North Korea or China because they feared they would be punished or killed for being captured or cooperating with the UN. Due to such risks, President Truman at that time acknowledged the need for ""voluntary repatriation"", claiming that forced repatriation would be repugnant to the fundamental moral and humanitarian principles. These same principles should be applied to the North Korean POWs in Ukraine today considering the dangers they will face when they go back to their homeland.  Seunghyun Nam is a professor at the Korea National Diplomatic Academy"
Taliban reject ICC move to arrest top officials,"Afghanistan's Taliban government said yesterday an arrest warrant sought by the International Criminal Court (ICC) for its leaders was ""politically motivated"". It comes a day after the ICC chief prosecutor said he was seeking warrants against senior Taliban leaders in Afghanistan over the persecution of women –- a crime against humanity. ""Like many other decisions of the (ICC), it is devoid of a fair legal basis, is a matter of double standards and is politically motivated,"" said a statement from the Foreign Ministry posted on social media platform X. ""It is regrettable that this institution has turned a blind eye to war crimes and crimes against humanity committed by foreign forces and their domestic allies during the twenty-year occupation of Afghanistan."" It said the court should ""not attempt to impose a particular interpretation of human rights on the entire world and ignore the religious and national values of people of the rest of the world""."
German ex-president Horst Koehler dead at 81,"Germany's former president Horst Koehler, who served as head of state from 2004 to 2010, died on Saturday aged 81 after a brief illness, officials announced. ""With the death of Horst Koehler, we have lost a highly esteemed and extremely popular person who achieved great things –- for our country and in the world,"" President Frank-Walter Steinmeier said in a letter to Koehler's widow. Koehler, an economist by training, was the first German president who was not a career politician. Before becoming president he was the head of the International Monetary Fund in Washington. He became German president, a mostly ceremonial role, after being put forward by then opposition leader Angela Merkel, who went on to become chancellor. He was elected for a second term in 2009 but in May the following year resigned after being criticised over remarks about overseas German military missions. He died in Berlin early Saturday after a short, serious illness surrounded by his family, the presidency said."
18 Pakistan paramilitaries killed in ambush,"Eighteen paramilitaries were killed and three others seriously wounded in an attack in Pakistan's southwest Balochistan province, police and local officials told AFP on Saturday. A vehicle ""carrying unarmed Frontier Corps paramilitaries"" near the town of Mangochar ""came under gunfire from 70 to 80 armed assailants who had blocked the road"", a police official told AFP, speaking on condition of anonymity. The overnight attack killed 17 of the passengers and a paramilitary who came to their aid, he said, confirming reports from local sources. Three other paramilitaries were seriously wounded and two escaped unharmed, he said. No one has claimed responsibility for the attack so far. Security forces have been battling sectarian, ethnic and separatist violence for decades in impoverished but mineral-rich Balochistan, which borders Afghanistan and Iran. There has been an increase in attacks in the volatile province in recent months, with six people killed in a bombing in January claimed by the separatist Balochistan Liberation Army (BLA). The BLA frequently claims deadly attacks against security forces or Pakistanis from other provinces, notably Punjabis in Balochistan. The militants have also targeted energy projects with foreign financing -- most notably from China -- accusing outsiders of exploiting the resource-rich region while excluding residents in the poorest part of Pakistan. In November, the BLA claimed responsibility for a bombing at Quetta's main railway station that killed 26 people, including 14 soldiers. The group also claimed responsibility for coordinated attacks by dozens of assailants in August that killed at least 39 people, one of the highest tolls in the region. A similarly dramatic uptick in attacks has also been witnessed elsewhere in Pakistan in recent months, including in northwestern Khyber Pakhtunkhwa province. In 2024 alone, the military reported 383 soldiers and 925 militants killed in various clashes."
Hamas frees three Israeli hostages in fourth ceasefire swap,"Ranks of Hamas fighters formed up on Gaza's beachfront on Saturday for the handover of an Israeli-American hostage in a show of force against the dramatic backdrop of breaking waves. In Gaza City a stage had been erected at a harbour for the handover of Keith Siegel. Green Hamas and Palestinian flags flapped in a strong sea breeze near a fisherman's wharf. Earlier, Israeli Yarden Bibas and Franco-Israeli Ofer Kalderon were handed over in a swift and organised ceremony in the war-battered city of Khan Yunis to the south. Siegel, 65, wore a black tracksuit and dark-grey hat as he was escorted quickly to the stage by fighters. He waved to onlookers and cameras, as hostages being freed have been told to do by their captors, before being handed over to the Red Cross. The occupational therapist seized from his home, along with his wife Aviva who was released during a truce in November 2023, appeared to have some difficulty moving as he mounted the stage. Before Siegel's release, ordered lines of scores of heavily armed fighters, only their eyes visible through masks, flanked the platform. On a row of pickups, some fighters carried RPGs (rocket-propelled-grenades) and other weapons. Slain commanders On the platform itself, Palestine fighters held up portraits of the group's slain leaders including Mohammed Deif, its military chief accused by Israel of being one of the masterminds behind the October 7, 2023, attack on Israel and whose death was confirmed by Hamas on Thursday. ""We are the men of Mohammed Deif,"" the Hamas fighters chanted as they brandished their weapons. Ahead of the two exchanges in Khan Yunis in southern Gaza and Gaza City to the north, scores of Hamas fighters, most wearing military fatigues, stood guard, apparently to control onlookers. The arrangements for Saturday's hostage release appeared in stark contrast with scenes during Thursday's exchange in Khan Yunis, which was condemned by Israeli Prime Minister Benjamin Netanyahu. Only after Siegel had left the handover site in a Red Cross vehicle were crowds permitted to move towards the stage. Onlookers, many of them children, paused to take selfies with Hamas fighters and mingled in the port, waving Palestinian flags. Bibas and Kalderon were handed over quickly in devastated Khan Yunis, where many buildings have been destroyed in 15 months of war between Israel and Palestinian fighters. Handover formalities Bibas, the father of the two youngest hostages -- Kfir, whose second birthday fell in January, and his older brother Ariel, who turned five in August -- was urged to wave to a Hamas cameraman as he held a certificate confirming his release. The 35-year-old, whose wife and two children Hamas has declared dead, although Israel has not confirmed their deaths, frowned as he took to the stage and looked straight ahead during the now familiar handover formalities endured by other hostages being released. Kalderon, 54, seized along with his son Erez, 12, and daughter Sahar, 16, from Nir Oz kibbutz and who were released in a first truce last year, wore a military-green tracksuit as he took to the stage. He too was instructed to wave before he joined the Red Cross officials. An assault rifle, apparently captured from Israeli forces during the fighting in Gaza, had been placed on the table where Red Cross officials exchanged paperwork with a Hamas official to verify that the two men had changed hands."
"Musk aides lock govt workers out of computer systems at US agency, sources say","Aides to Elon Musk charged with running the US government human resources agency have locked career civil servants out of computer systems that contain the personal data of millions of federal employees, according to two agency officials. Since taking office 11 days ago, President Donald Trump has embarked on a massive government makeover, firing and sidelining hundreds of civil servants in his first steps toward downsizing the bureaucracy and installing more loyalists. Musk, the billionaire Tesla TSLA.O CEO and X owner tasked by Trump to slash the size of the 2.2 million-strong civilian government workforce, has moved swiftly to install allies at the agency known as the Office of Personnel Management. The two officials, who spoke to Reuters on condition of anonymity for fear of retaliation, said some senior career employees at OPM have had their access revoked to some of the department's data systems. The systems include a vast database called Enterprise Human Resources Integration, which contains dates of birth, Social Security numbers, appraisals, home addresses, pay grades and length of service of government workers, the officials said. ""We have no visibility into what they are doing with the computer and data systems,"" one of the officials said. ""That is creating great concern. There is no oversight. It creates real cybersecurity and hacking implications."" Officials affected by the move can still log on and access functions such as email but can no longer see the massive datasets that cover every facet of the federal workforce. Musk, OPM, representatives of the new team, and the White House did not immediately respond to requests for comment. OPM has sent out memos that eschew the normal dry wording of government missives as it encourages civil servants to consider buyout offers to quit and take a vacation to a ""dream destination."" Don Moynihan, a professor at the Ford School of Public Policy at the University of Michigan, said the actions inside OPM raised concerns about congressional oversight at the agency and how Trump and Musk view the federal bureaucracy. ""This makes it much harder for anyone outside Musk's inner circle at OPM to know what's going on,"" Moynihan said. MUSK INFLUENCE A team including current and former employees of Musk assumed command of OPM on Jan. 20, the day Trump took office. They have moved sofa beds onto the fifth floor of the agency's headquarters, which contains the director's office and can only be accessed with a security badge or a security escort, one of the OPM employees said. The sofa beds have been installed so the team can work around the clock, the employee said. Musk, a major donor to a famously demanding boss, installed beds at X for employees to enable them to work longer when in 2022 he took over the social media platform, formerly known as Twitter. ""It feels like a hostile takeover,"" the employee said. The new appointees in charge of OPM have moved the agency's chief management officer, Katie Malague, out of her office and to a new office on a different floor, the officials said. Malague did not respond to a request for comment. The moves by Musk's aides at OPM, and upheaval inside the Treasury building caused by other Musk aides that was reported on Friday, underscore the sweeping influence Musk is having across government. David Lebryk, the top-ranking career US Treasury Department official, is set to leave his post following a clash with allies of Musk after they asked for access to payment systems, the Washington Post reported on Friday. The new team at OPM includes software engineers and Brian Bjelde, who joined Musk's SpaceX venture in 2003 as an avionics engineer before rising to become the company's vice president of human resources. Bjelde's role at OPM is that of a senior adviser. The acting head of OPM, Charles Ezell, has been sending memos to the entire government workforce since Trump took office, including Tuesday's offering federal employees the chance to quit with eight months pay. ""No-one here knew that the memos were coming out. We are finding out about these memos the same time as the rest of the world,"" one of the officials said. Among the group that now runs OPM is Amanda Scales, a former Musk employee, who is now OPM's chief of staff. In some memos sent out on Jan. 20 and Jan. 21 by Ezell, including one directing agencies to identify federal workers on probationary periods, agency heads were asked to email Scales at her OPM email address. Another senior adviser is Riccardo Biasini, a former engineer at Tesla and most recently a director at The Boring Company, Musk's tunnel-building operation in Las Vegas."
Trump's Pentagon says it will 'rotate' out some media from offices,"US President Donald Trump's administration, in an unprecedented move, announced late on Friday it would remove four media organizations including the New York Times from their dedicated office spaces in the Pentagon, citing a desire to make room for others. The memo on a ""New Annual Media Rotation Program"" said it would also remove National Public Radio, Comcast Corp-owned NBC News and Politico, which must vacate their spaces by Feb. 14. In their place, it would give dedicated office space to the New York Post, One America News Network, Breitbart News Network and HuffPost News. Each year going forward, one outlet from print, online, television and radio will rotate out of the Pentagon ""to allow a new outlet from the same medium that has not had the unique opportunity to report as a resident member of the Pentagon Press Corps,"" the memo said. ""We're disappointed by the decision to deny us access to a broadcasting booth at the Pentagon that we've used for many decades,"" an NBC News spokesperson said by email. ""Despite the significant obstacles this presents to our ability to gather and report news in the national public interest, we will continue to report with the same integrity and rigor NBC News always has."" The Times, Politico and NPR did not immediately respond to requests for comment outside regular business hours. More than two dozen news organizations operate out of the Pentagon, including Reuters, reporting on the daily activities of the US military. ""To be clear, the outlets that vacate the spaces loaned them by the Secretary (of Defense) will remain full members of the Pentagon Press Corps,"" said John Ullyot, acting assistant to the secretary of defense for public affairs. ""The only change will be giving up their physical work spaces in the building to allow new outlets to have their turn to become resident members of the Pentagon Press Corps."" The Pentagon Press Association, which represents journalists who cover the Defense Department, said it was ""greatly troubled by this unprecedented move by DOD to single out highly professional media."" Reuters correspondent Phil Stewart is a member of the association's four-member board of directors."
Three Israeli hostages set to be released in latest Gaza exchange,"The Palestinian fighter group Hamas is expected to hand over three Israelis on Saturday, in the latest stage of a gradual exchange of hostages for Palestinian prisoners under a truce aimed at opening the way to ending the 15-month war in Gaza. The three Israelis include Yarden Bibas, father of the two youngest hostages, baby Kfir, only 9 months old when he was kidnapped by Hamas-led gunmen on Oct. 7, 2023, and Ariel, who was 4 at the time of the cross-border attack. Hamas said in November 2023 that the boys and their mother Shiri, who was taken at the same time, were killed in an Israeli airstrike. There has been no word on them since. US-Israeli dual national Keith Siegel and French-Israeli dual national Ofer Kalderon will also be part of the exchange for 182 Palestinian prisoners and detainees, Hamas said. Saturday is also expected to see the first Palestinians travelling from Gaza to Egypt through the newly reopened Rafah crossing. It will be opened initially for 50 injured fighters and 50 wounded civilians, along with the people escorting them, with a further 100 people, most likely students, probably allowed through on humanitarian grounds. Fifteen of the 33 hostages due for release in the first stage of the ceasefire have so far been released in exchange for 400 Palestinian prisoners and detainees. Negotiations are due to start by Tuesday on agreements for the release of more than 60 remaining hostages and the withdrawal of Israeli troops from Gaza in a second phase of the deal. The initial six-week ceasefire, agreed with Egyptian and Qatari mediators and backed by the United States, has so far stayed on track despite a number of incidents that have led both sides to accuse the other of violating the deal. The Hamas attack on Oct. 7, 2023 killed some 1,200 people and took more than 250 hostage, according to Israeli figures. Israel's campaign in response has destroyed much of the densely populated Gaza Strip and killed more than 47,000 Palestinians, according to Palestinian health authorities."
"Trump: Nothing Canada, Mexico or China can do to delay Feb 1 tariffs","US President Donald Trump said on Friday he would impose hefty new tariffs of 25% on goods from Mexico and Canada and 10% on imports from China, and nothing could be done by the three countries to forestall them. Trump did, however, reference a potential carve out for oil from Canada, saying that rate would be 10% versus the 25% planned for other goods from the United States' northern neighbor. But he indicated wider tariffs on oil and natural gas would be coming in mid-February, remarks that sent oil prices higher. Trump has been threatening the tariffs for weeks, saying they would be imposed on Feb. 1 and remain in place until the countries did more to stem the flow of both migrants and fentanyl over the US border. Speaking to reporters in the Oval Office as he was signing executive orders, Trump said he understood the duties could result in higher costs being passed on to consumers and acknowledged his actions may cause disruptions in the short term. Most economists estimate such sweeping import taxes, and the likely retaliation, would disrupt economic activity around the globe. Asked if there was any opportunity at this stage for the three top US trading partners to win a delay, Trump said: ""No, no. Not right now, no."" He brushed away the notion his threats for levies have been a bargaining tool. ""No, it's not ... we have big (trade) deficits with, as you know, with all three of them."" ""It's something we're doing, and we'll possibly very substantially increase it, or not, we'll see how it is,"" Trump said. ""But it's a lot of money coming to the United States."" And more tariffs are on the way, the Republican president said, saying import taxes were being considered on European goods as well as on steel, aluminum and copper, and on drugs and semiconductors. ""We're going to be putting tariffs on steel and aluminum, and ultimately copper. Copper will take a little longer,"" he said. Financial markets have been whipsawed by the rapid-fire but still not fully clear developments on Trump's tariff plans, with currency trading showing particular volatility. The Canadian dollar and Mexican peso both weakened while Treasury bond yields rose, and stocks ended the day lower. Still, he said he was not concerned about the reaction of financial markets to his plans to impose tariffs. ""The President will be implementing tomorrow 25% tariffs on Mexico, 25% tariffs on Canada, and a 10% tariff on China for the illegal fentanyl that they have sourced and allowed to distribute into our country, which has killed tens of millions of Americans,"" White House spokesperson Karoline Leavitt told a press briefing. Leavitt said details of the tariffs will be released sometime on Saturday. When Trump imposed punitive duties on Chinese goods in 2018 and 2019, there was typically a lag of two to three weeks for Customs and Border Protection to begin collecting tariffs, due to computer system updates and notices required for importers. Trump traveled late on Friday to his Mar-a-Lago estate in Florida, saying he would work all weekend there. He was joined on the flight by his commerce secretary nominee Howard Lutnick, who Trump has designated as his trade policy chief. MAJOR DISRUPTION Economists and business executives have warned the tariffs would spark increases in the prices of imports such as aluminum and lumber from Canada, as well as fruits, vegetables, beer and electronics from Mexico and motor vehicles from both countries. Trump again spoke of collecting hundreds of billions of dollars in revenues from other countries, but economists generally say tariffs are paid by firms that import goods and pass the costs on to consumers or accept lower profits. ""President Trump's tariffs will tax America first,"" said Matthew Holmes, public policy chief at the Canadian Chamber of Commerce. ""From higher costs at the pumps, grocery stores and online checkout, tariffs cascade through the economy and end up hurting consumers and businesses on both sides of the border."" Trump's move is expected to draw retaliatory tariffs, potentially disrupting more than $2.1 trillion in annual two-way US trade with the three trading partners. Canadian Prime Minister Justin Trudeau on Friday said Canada would immediately respond with forceful countermeasures, adding Canadians could be ""facing difficult times in the coming days and weeks."" Canada has drawn up detailed targets for immediate tariff retaliation, including duties on Florida orange juice, a source familiar with the plan said. Canada has a broader list of targets that could reach C$150 billion ($105 billion) worth of US imports, but would hold public consultations before acting, the source said. Mexican President Claudia Sheinbaum said she would ""wait with a cool head"" for Trump's tariff decision and was prepared to continue a border dialogue. Sheinbaum previously said Mexico also would retaliate, arguing Trump's tariffs would cost 400,000 US jobs and drive up prices for US consumers. China has been more circumspect about its retaliation plans, but has vowed to respond. China ""firmly opposes"" Trump's new duties, a spokesperson for Beijing's embassy in Washington said, adding: ""There is no winner in a trade war or tariff war, which serves the interests of neither side nor the world."""
WASHINGTON CRASH / Investigators try to salvage aircraft,"Investigators yesterday pushed forward with efforts to retrieve the two aircraft involved in a crash in Washington that killed 67 people and raised questions about air safety in the US capital. Fresh from recovering the so-called black boxes from the American Airlines plane that crashed into the Potomac River after colliding with an Army Black Hawk helicopter on Wednesday, divers aim to ""salvage the aircraft"" and find additional components, Washington's fire department said. ""Overnight, boats will remain on scene for security and surface searches from local, state, and federal regional partners,"" it said. The National Transportation Safety Board is studying the cockpit voice recorder and flight data recorder from the CRJ700 airplane, which carried 60 passengers and four crew members, all of whom perished in the crash. The three members of the helicopter crew also died. The board said it will have preliminary report into disaster within 30 days. Authorities have not pinpointed a reason for the collision. The military said the maximum altitude for the route the helicopter was taking is 200 feet (61 meters) but it may have been flying higher. The collision occurred at an altitude of around 300 feet, according to flight tracking website FlightRadar24. Senator Maria Cantwell, the top Democrat on the Senate Commerce Committee, questioned the safety of military and commercial flights separated by as little as 350 feet (107 m) vertically and horizontally."
Two killed in Israeli strikes on east Lebanon,"Overnight Israeli air strikes on the Bekaa Valley in eastern Lebanon killed two people, the health ministry said yesterday, two months into a fragile ceasefire. ""The strike by the Israeli enemy on Janta killed two people and wounded 10,"" the ministry said. The Israeli military said it struck ""multiple"" Hezbollah targets in the Bekaa, a stronghold of the militant group with which it fought a war last year. ""The targets that were struck include a Hezbollah terrorist site containing underground infrastructure, used to develop and manufacture weaponry and additional terrorist infrastructure sites on the Syrian-Lebanese border used by Hezbollah to smuggle weaponry into Lebanon,"" the military said in a statement. The village of Janta area lies close to the Syrian border and the area was already hit by Israeli strikes on January 13. The overnight strikes came after the Israeli military said it had intercepted a Hezbollah surveillance drone approaching Israeli airspace on Thursday, in a ""breach of the ceasefire understandings between Israel and Lebanon""."
Turkey court jails opposition journalist,"A court in Turkey yesterday ordered the arrest of a journalist from an opposition television channel accused of broadcasting a secretly recorded interview with a state official, the media outlet said. Halk TV said its editor-in-chief Suat Toktas had been jailed because he made the decision to broadcast an interview about an investigation into Istanbul's opposition mayor Ekrem Imamoglu. ""I am accused of ridiculous allegations,"" Toktas told the court, according to the television outlet. ""What we have done is a true journalism."" Halk TV is is close to the main opposition Republican People's Party (CHP)."
70 Rohingyas land in Indonesia’s Aceh,"More than 70 Rohingyas came ashore in Indonesia's Aceh province, an official said yesterday, the latest wave of Rohingyas who often faced rejection from Indonesia's regional communities. A wooden boat carrying 40 men, 32 women, and four children landed in Pereulak region in East Aceh on Wednesday, Nova Suryandaru, the head of regional police, told Reuters. The boat had arrived at the beach in the afternoon but the Rohingya's attempts to land were rejected by residents. They were finally allowed to land at around 8:00 pm. ""The boat was deliberately damaged by them (Rohingyas)... So, we negotiated with the residents, explaining that it's impossible for the boat to sail again,"" said Nova, adding they were evacuated to temporary shelters."
